investor,year,weighted_score
LANSDOWNE PARTNERS (UK) LLP,2015,36.13121264258629
HORAN CAPITAL MANAGEMENT,2015,36.12560451226657
BUSH ODONNELL INVESTMENT ADVISORS INC,2013,36.042905206793726
QV Investors Inc.,2015,35.88292436323472
"LATEEF INVESTMENT MANAGEMENT, L.P.",2013,35.85037547513045
"Cook & Bynum Capital Management, LLC",2017,35.71455199797238
"KOKUSAI Asset Management Co., Ltd.",2013,35.6487909791688
GREENLEAF TRUST,2017,35.62463582961297
CALEDONIA INVESTMENTS PLC,2017,35.5966239549026
CORTLAND ASSOCIATES INC/MO,2013,35.59548975071602
Wright Private Asset Management,2013,35.52955877205308
WILSEY ASSET MANAGEMENT INC,2015,35.495999530808774
Randolph Co Inc,2013,35.47083585873095
LANSDOWNE PARTNERS LIMITED PARTNERSHIP,2013,35.40474545638934
GAMBLE JONES INVESTMENT COUNSEL,2013,35.39233092457765
Veritas Asset Management LLP,2015,35.31865079167397
INDEPENDENT INVESTORS INC,2015,35.284976771632216
ALLIED IRISH BANKS PLC,2013,35.26798519960863
JENSEN INVESTMENT MANAGEMENT INC,2017,35.23064264005625
JENSEN INVESTMENT MANAGEMENT INC,2015,35.120492829448274
BAKER BOYER NATIONAL BANK,2015,35.0593249660159
PUZO MICHAEL J,2013,34.83447344347353
BOURNE LENT ASSET MANAGEMENT INC,2017,34.75760134660464
"HS Management Partners, LLC",2017,34.67817274580106
First Reserve GP XII Ltd,2015,34.62914412637283
STONEHILL CAPITAL MANAGEMENT LLC,2013,34.55760506852624
ALLEN HOLDING INC /NY,2013,34.53669963690751
guardian investment management,2013,34.52379335522908
Saratoga Research & Investment Management,2015,34.3543270107979
Independence Trust CO,2017,34.31697375802026
YACKTMAN ASSET MANAGEMENT LP,2013,34.3091530162971
INDEPENDENT INVESTORS INC,2017,34.24107861750837
"Covenant Financial Services, LLC",2013,34.235095982612194
"Seminole Management Co., Inc.",2015,34.22931770732527
EGERTON CAPITAL LTD,2013,34.090583086416416
RELATIONAL INVESTORS LLC,2015,34.083884439804315
Veritas Investment Management LLP,2017,33.859517488575555
TAUBE HODSON STONEX PARTNERS LLP,2013,33.81319896550024
EXCALIBUR MANAGEMENT CORP,2013,33.7874396971674
"SUMMIT SECURITIES GROUP, LLC",2015,33.777030523287024
"Vantage Investment Partners, LLC",2017,33.76825145304234
POLEN CAPITAL MANAGEMENT LLC,2013,33.71474454791837
"YCG, LLC",2015,33.55093769858614
SALIENT TRUST CO LTA,2017,33.468011311660696
BANK PICTET & CIE (ASIA) LTD,2017,33.37669640059093
Veritas Investment Management LLP,2015,33.373740041281394
JENSEN INVESTMENT MANAGEMENT INC,2013,33.37082845351063
EDGAR LOMAX CO/VA,2017,33.37044406932188
GUARDIAN INVESTMENT MANAGEMENT,2017,33.35829900640559
Cryder Capital Partners LLP,2017,33.29658553363739
R.M.SINCERBEAUX CAPITAL MANAGEMENT LLC,2017,33.29178902033745
Deccan Value Investors L.P.,2015,33.26941794565496
"ValueAct Holdings, L.P.",2013,33.265370330846224
"Eliot Finkel Investment Counsel, LLC",2017,33.25977883360392
"OAKTOP CAPITAL MANAGEMENT II, L.P.",2015,33.251050929688645
WELLCOME TRUST LTD (THE) as trustee of the WELLCOME TRUST,2015,33.25012627360667
Independent Franchise Partners LLP,2013,33.190326837904486
"Mizuho Bank, Ltd.",2013,33.14047723771265
Nevsky Capital LLP,2015,33.13618621349001
"TEGEAN CAPITAL MANAGEMENT, LLC",2015,33.11909810173057
CTC LLC,2017,33.05131756355351
Veritas Investment Management LLP,2013,33.01882839176503
guardian investment management,2015,32.98363839450838
StepStone Group LP,2013,32.96392094553447
EDGEWOOD MANAGEMENT LLC,2015,32.935861724108136
BAKER BOYER NATIONAL BANK,2017,32.9287343947967
"RWWM, Inc.",2013,32.91610026376761
"TRIAN FUND MANAGEMENT, L.P.",2015,32.86743442990418
Fundsmith LLP,2013,32.835620699844874
"OAKTOP CAPITAL MANAGEMENT II, L.P.",2017,32.80595554510197
GREEN VALLEY INVESTORS LLC,2013,32.79802866925733
BAKER BOYER NATIONAL BANK,2013,32.7939749012302
Ruffer LLP,2017,32.71482214061371
"YCG, LLC",2017,32.69855604552134
"RWWM, Inc.",2015,32.674761780554014
POLEN CAPITAL MANAGEMENT LLC,2015,32.60769764395385
Ruffer LLP,2013,32.597862873749364
"Haverford Financial Services, Inc.",2017,32.59413292572186
STEWART & PATTEN CO LLC,2013,32.39909097982453
Gabalex Capital Management LLC,2013,32.381600187783164
POLEN CAPITAL MANAGEMENT LLC,2017,32.37702955708185
R.M.SINCERBEAUX CAPITAL MANAGEMENT LLC,2015,32.355572275755186
Independent Franchise Partners LLP,2017,32.31904311168751
