,investor,year,weighted_score
6046,FISHMAN JAY A LTD/MI,2013,29.770934792146058
12642,"Pacifica Capital Investments, LLC",2013,29.62050960190061
16266,TRUSTCO BANK CORP N Y,2013,29.559499564839868
13571,RNC CAPITAL MANAGEMENT LLC,2013,29.382136891173303
94,ACADEMY CAPITAL MANAGEMENT INC/TX,2013,29.300539517887987
10528,MONTGOMERY INVESTMENT MANAGEMENT INC,2013,29.29024295259744
10781,"Martin Investment Management, LLC",2013,29.26876732858149
597,ARMSTRONG HENRY H ASSOCIATES INC,2013,29.238404268136822
12510,PRIVATE ASSET MANAGEMENT INC,2013,29.100884298562047
14221,SCHULHOFF & CO INC,2013,29.074662661825847
5292,EDGEWOOD MANAGEMENT LLC,2013,28.988038088550002
17710,"WestEnd Advisors, LLC",2013,28.98393791957435
14568,SMITHBRIDGE ASSET MANAGEMENT INC/DE,2013,28.935026651386952
9430,LEONARD GREEN PARTNERS LP,2013,28.829566584087612
8651,J O Hambro Investment Management Ltd,2013,28.80620143640872
4287,"Coho Partners, Ltd.",2013,28.802147073766143
3805,Caledonia (Private) Investments Pty Ltd,2013,28.80031129299505
10177,MARSHALL WACE ASIA Ltd,2013,28.723393297933626
6401,"First Fiduciary Investment Counsel, Inc.",2013,28.564946489024944
11274,NICHOLS & PRATT ADVISERS LLP /MA,2013,28.513761507052102
15783,Suncoast Equity Management,2013,28.491108557890502
83,"ABRAMS BISON INVESTMENTS, LLC",2013,28.481944151379913
17883,"YCG, LLC",2013,28.457446531529385
766,AZENTUS CAPITAL MANAGEMENT Ltd,2013,28.416358366825257
9662,"Lakeshore Capital, LLC",2013,28.390332687714327
6521,"Forester Capital Management, LTD",2013,28.309872672035088
9625,LYNCH & ASSOCIATES/IN,2013,28.22585616029823
6246,Family Capital Trust Co,2013,28.19506142168671
14782,STATE FARM MUTUAL AUTOMOBILE INSURANCE CO,2013,28.14023993933458
15883,"TCTC Holdings, LLC",2013,28.137408159065824
1292,Astenbeck Capital Management LLC,2013,28.08874799229548
9813,Lindsell Train Ltd,2013,27.99974811581891
2827,CADINHA & CO LLC,2013,27.98016857927812
7456,HALL LAURIE J TRUSTEE,2013,27.937645335761964
16743,UNITED FIRE GROUP INC,2013,27.85893056091049
6796,GILLESPIE ROBINSON & GRIMM INC,2013,27.83099343400743
2766,Burren Capital Advisors Ltd,2013,27.814018577006866
12430,PLATINUM INVESTMENT MANAGEMENT LTD,2013,27.749607505806654
9171,Kemnay Advisory Services Inc.,2013,27.63683603530034
14332,SEGER ELVEKROG INC,2013,27.57164366082972
8214,Horseman Capital Management Ltd,2013,27.5581899924932
6961,"GREATMARK INVESTMENT PARTNERS, INC.",2013,27.55102228995316
7864,HUTCHINSON CAPITAL MANAGEMENT/CA,2013,27.514411421647115
13546,RIVERSIDE ADVISORS LLC,2013,27.508722979904185
1673,BEL AIR INVESTMENT ADVISORS LLC,2013,27.44559362650048
14237,SCHWERIN BOYLE CAPITAL MANAGEMENT INC,2013,27.419126551555557
5389,"EP Wealth Advisors, Inc.",2013,27.40187037807913
14675,SPERO-SMITH INVESTMENT ADVISERS INC /OH,2013,27.35774894881934
14142,SAWGRASS ASSET MANAGEMENT LLC,2013,27.293714353389294
1936,"BRANDYWINE MANAGERS, LLC",2013,27.19303148555424
14509,SIPHRON CAPITAL MANAGEMENT /CA/,2013,27.142155798912196
10310,MCMILLION CAPITAL MANAGEMENT INC,2013,27.107256614517173
8146,Hirtle Callaghan & Co LLC,2013,27.005301863561893
3479,COMPASS CAPITAL MANAGEMENT INC/,2013,26.984829605857392
2213,"Bank of Kentucky, Inc.",2013,26.945758625287148
8619,Iowa State Bank,2013,26.914005618866426
1007,"American Investment Services, Inc.",2013,26.850453150372992
7024,"GRIFFIN ASSET MANAGEMENT, INC.",2013,26.804769852412853
11496,Natixis Asset Management,2013,26.78206970352636
16876,VAN STRUM & TOWNE INC,2013,26.699163332047313
15346,Silver Point Capital L.P.,2013,26.670209571411824
2266,Barton Investment Management,2013,26.446688957336583
2601,"Boyle Capital Management, LLC",2013,26.41007876754705
10708,Manchester Capital Management LLC,2013,26.369938360694093
15495,Spears Abacus Advisors LLC,2013,26.364302744282995
8037,Hendershot Investments Inc.,2013,26.226023425513578
12533,PROFESSIONAL ADVISORY SERVICES INC,2013,26.18198343017589
6684,GARCIA HAMILTON & ASSOCIATES LP/DE,2013,26.130383654737464
11754,"OAKTOP CAPITAL MANAGEMENT II, L.P.",2013,26.10699119628136
10100,MAR VISTA INVESTMENT PARTNERS LLC,2013,26.078333134827048
