,investor,year,weighted_score
3706,CTC LLC,2017,33.05131756355351
6364,"Firefly Value Partners, LP",2017,18.845610814709353
10552,MOON CAPITAL MANAGEMENT LP,2017,17.416006575877557
9541,LONDON CO OF VIRGINIA,2017,17.206236020020057
14164,"SCGE MANAGEMENT, L.P.",2017,17.154529341796604
8017,"Healthcare Value Capital, LLC",2017,16.96956563952937
16062,TIGER MANAGEMENT L.L.C.,2017,16.801321010097865
16440,Texas Yale Capital Corp.,2017,16.2913505460463
2013,BRIGHTON JONES LLC,2017,16.255995051540964
10910,"Meru Capital Group, LP",2017,16.052230955554396
8427,INVESTMENTAKTIENGESELLSCHAFT FUER LANGFRISTIGE INVESTOREN TGV,2017,15.572775552954484
7052,GRUSS & CO INC,2017,15.486476276912175
1332,"Atlas Brown,Inc.",2017,15.388145899633287
12139,PAR CAPITAL MANAGEMENT INC,2017,15.304993214325886
17150,W.G. Shaheen & Associates DBA Whitney & Co,2017,15.277108975777162
12187,PARSONS CAPITAL MANAGEMENT INC/RI,2017,15.233069700739765
13718,RWC Asset Management LLP,2017,15.024267007173666
16435,Texan Capital Management,2017,14.893674124435398
11451,NWI MANAGEMENT LP,2017,14.581149578735939
4692,"D.C. Capital Advisors, Ltd",2017,14.558506762721057
9604,LUCAS CAPITAL MANAGEMENT,2017,14.342573815896081
2664,"Bridgecreek Investment Management, LLC",2017,14.172904842361545
15862,TAYLOR ASSET MANAGEMENT INC,2017,14.057525995622228
2636,Breithorn Capital Management,2017,13.821244406572578
1795,"BLOOM TREE PARTNERS, LLC",2017,13.13294465695858
5582,"Elm Ridge Management, LLC",2017,13.017640364073156
12844,"Pennant Capital Management, LLC",2017,12.9322284630081
17562,"Wall Street Access Asset Management, LLC",2017,12.83005115719278
6564,Fox Point Capital Management LLC,2017,12.55460675329895
3700,CT Mason,2017,12.251432746587335
5171,"Dorsal Capital Management, LLC",2017,12.188284505932018
17682,"Wellington Shields & Co., LLC",2017,12.145403027261656
17753,Whale Rock Capital Management LLC,2017,11.731669172090335
1460,BALDWIN BROTHERS INC/MA,2017,11.625657369917342
2276,Baskin Financial Services Inc.,2017,11.353222658358892
15406,Sloane Robinson LLP,2017,11.343593538155531
17544,WRIGHT INVESTORS SERVICE INC,2017,11.043265445144133
3420,COLUMBIA PARTNERS L L C INVESTMENT MANAGEMENT,2017,11.002739600682201
2525,"Bluefin Trading, LLC",2017,10.864283129320157
2096,BTG Pactual Global Asset Management Ltd,2017,10.747108324458354
4970,"DREMAN VALUE MANAGEMENT, L L C",2017,10.628608421677495
13765,"Ranger International Management, LP",2017,10.47400854117962
2820,CADENCE CAPITAL MANAGEMENT LLC,2017,10.267421469845491
1239,Artal Group S.A.,2017,10.219215957638022
4092,"Century Capital Management, LLC",2017,10.13203348826739
4824,DENALI ADVISORS LLC,2017,10.02427156808978
731,"AVALON ADVISORS, LLC",2017,9.95530493127681
11628,Nine Chapters Capital Management LLC,2017,9.718452738436849
16247,TRUST CO OF TOLEDO NA /OH/,2017,9.614990124843635
3371,COATUE MANAGEMENT LLC,2017,9.531516917479713
4077,Central Asset Investments & Management Holdings (HK) Ltd,2017,9.436288919701584
5220,Dynamic Capital Management Ltd,2017,9.354841521057796
8387,INTREPID CAPITAL MANAGEMENT INC,2017,8.796769074510534
14866,"STONE RUN CAPITAL, LLC",2017,8.785988634134709
8330,IMS Capital Management,2017,8.760556732901142
11426,NOVARE CAPITAL MANAGEMENT LLC,2017,8.731958294843052
3577,CORNERSTONE ADVISORS INC,2017,8.721062220547994
17769,"White Elm Capital, LLC",2017,8.678070967313296
4127,"Chapter IV Investors, LLC",2017,8.468556361587886
203,"AFAM CAPITAL, INC.",2017,8.35564549029525
5200,Drexel Morgan & Co.,2017,8.351100520361907
1712,BERNZOTT CAPITAL ADVISORS,2017,8.184285318563289
7450,HAHN CAPITAL MANAGEMENT LLC,2017,8.025964594357683
10973,"Mitsubishi UFJ Securities Holdings Co., Ltd.",2017,7.985780969430238
939,"AlphaOne Investment Services, LLC",2017,7.76835248269692
17988,Zweig-DiMenna Associates LLC,2017,7.7206069075450205
11913,OVERBROOK MANAGEMENT CORP,2017,7.56485125352243
11066,Motley Fool Asset Management LLC,2017,7.543832727980405
16820,"United Asset Strategies, Inc.",2017,7.328109886777773
2649,Breton Hill Capital Ltd.,2017,7.291853326541963
3830,Camber Capital Management LLC,2017,7.286249347784634
9047,KEYBANK NATIONAL ASSOCIATION/OH,2017,7.233892710568443
761,AXIOM INTERNATIONAL INVESTORS LLC /DE,2017,7.202498904993983
15932,TEALWOOD ASSET MANAGEMENT INC,2017,7.190435510270719
6084,FNY Managed Accounts LLC,2017,7.020298649178013
5081,David R. Rahn & Associates Inc.,2017,7.018609220413941
11647,"Norinchukin Bank, The",2017,6.979485900109561
3095,"CEDAR HILL ASSOCIATES, LLC",2017,6.954836845368847
8417,INVESTMENT MANAGEMENT OF VIRGINIA LLC,2017,6.7567843700654
2383,"Berson & Corrado Investment Advisors, LLC",2017,6.712316753001714
13271,QUENTEC ASSET MANAGEMENT LLC,2017,6.5890193907088035
10271,MATTHEWS INTERNATIONAL CAPITAL MANAGEMENT LLC,2017,6.501235870977294
5133,Destination Wealth Management,2017,6.48936756791273
2243,"Barnett & Company, Inc.",2017,6.467606095567972
12272,PECONIC PARTNERS LLC,2017,6.435763291568313
13264,QUANTUM CAPITAL MANAGEMENT,2017,6.316936185349529
462,AMP Capital Investors Ltd,2017,6.303892299140836
8144,"Hilton Capital Management, LLC",2017,6.302333648189632
14219,SCHRODER INVESTMENT MANAGEMENT GROUP,2017,6.269687237681196
8530,"Independent Portfolio Consultants, Inc.",2017,6.2588429891513915
830,"Advisors Asset Management, Inc.",2017,6.246171953106148
2255,Barrington Strategic Wealth Management Group LLC,2017,6.219112822361223
4181,Chou Associates Management Inc.,2017,6.207255758241049
47,40 North Management LLC,2017,6.180604461385897
11357,NORTH STAR ASSET MANAGEMENT INC,2017,6.158750008898445
8758,JET CAPITAL INVESTORS L P,2017,6.083366445621063
1273,Aspen Investment Management Inc,2017,6.063990387915728
16101,TOBAM,2017,6.029940460584079
14584,SNOW CAPITAL MANAGEMENT LP,2017,5.977887861145727
17658,"Weaver C. Barksdale & Associates, Inc.",2017,5.946802784095677
16969,"VNBTrust, National Association",2017,5.929558541874258
13081,Portland Global Advisors LLC,2017,5.879420653334987
17614,"Waterstone Capital Management, L.P.",2017,5.854778152756044
7386,Greenwich Wealth Management LLC,2017,5.798863712470637
6224,FUKOKU MUTUAL LIFE INSURANCE Co,2017,5.758818640989231
9956,"Lourd Capital, LLC",2017,5.7357681958690465
13394,RAYMOND JAMES & ASSOCIATES,2017,5.7184339526527665
7176,"Genesis Asset Managers, LLP",2017,5.714569473451951
14590,"SNS Financial Group, LLC",2017,5.682540650528926
2736,"Buckingham Asset Management, LLC",2017,5.661804822765614
6327,"Financial Architects, Inc",2017,5.652103650474331
685,ATHENA CAPITAL ADVISORS LLC,2017,5.631538769244989
12249,"PEAK6 Investments, L.P.",2017,5.575916562831218
16264,TRUST DEPARTMENT MB FINANCIAL BANK N A,2017,5.559497921650667
7859,"HUSSMAN STRATEGIC ADVISORS, INC.",2017,5.432311876432816
9255,Kingfisher Capital LLC,2017,5.343578798188849
14959,"SUSQUEHANNA INTERNATIONAL GROUP, LLP",2017,5.293171503120034
15169,SeaBridge Investment Advisors LLC,2017,5.271067302304589
2182,"Baldwin Investment Management, LLC",2017,5.252065381725616
4264,Coastline Trust Co,2017,5.241570533263202
2119,BUCKINGHAM CAPITAL MANAGEMENT INC,2017,5.221115500688516
4017,"Carroll Financial Associates, Inc.",2017,5.178174142708829
12355,PICTET ASSET MANAGEMENT LTD,2017,5.176770462388499
13772,Ratan Capital Management LP,2017,5.166691736698203
12148,PARADIGM ASSET MANAGEMENT CO LLC,2017,5.083334412305276
1618,"BBVA COMPASS BANCSHARES, INC",2017,5.0788411285247745
14986,SYMMETRY PEAK MANAGEMENT LLC,2017,5.0713169986702615
10432,"MILES CAPITAL, INC.",2017,5.058474365382372
