,investor,year,weighted_score
1811,"BNP PARIBAS ARBITRAGE, SA",2013,5.953059342290545
15750,"Summit Asset Management, LLC",2013,5.944989681527677
12498,PRINCIPAL FINANCIAL GROUP INC,2013,5.928627370288134
9068,"KINGDON CAPITAL MANAGEMENT, L.L.C.",2013,5.802426172639362
6165,FPR PARTNERS LLC,2013,5.793406845261821
12539,PROFFITT & GOODSON INC,2013,5.790631820069829
1637,"BEACONLIGHT CAPITAL, LLC",2013,5.719833584310907
10758,"Mariner Wealth Advisors, LLC",2013,5.61892992040043
15586,Stearns Financial Services Group,2013,5.533290087917569
14007,"Roumell Asset Management, LLC",2013,5.517244395485529
9037,"KEY GROUP HOLDINGS (CAYMAN), LTD.",2013,5.511228506766876
1503,BANK OF STOCKTON,2013,5.464625714637931
15952,TEXAS CAPITAL BANCSHARES INC/TX,2013,5.29933561977479
7572,HAYS ADVISORY LLC,2013,5.264768932374419
13788,"Raymond James Financial Services Advisors, Inc.",2013,5.229252958046973
17434,WILBANKS SMITH & THOMAS ASSET MANAGEMENT LLC,2013,5.199644324390842
1975,"BRIDGER MANAGEMENT, LLC",2013,5.194638264230554
3464,COMMONWEALTH OF PENNSYLVANIA PUBLIC SCHOOL EMPLS RETRMT SYS,2013,5.118148225852508
12711,Paragon Capital Management Ltd,2013,5.116796451807345
4192,Cipher Capital LP,2013,5.115777077739084
8442,IRIDIAN ASSET MANAGEMENT LLC/CT,2013,5.074962196601158
638,"ASCEND CAPITAL, LLC",2013,5.0681682449661265
10690,Makaira Partners LLC,2013,5.058706606865371
4634,"Cutler Capital Management, LLC",2013,5.0469027999048945
13104,Prescott General Partners LLC,2013,4.995160188019215
14994,SYMPHONY ASSET MANAGEMENT LLC,2013,4.972663666677742
14653,"SOUTHERNSUN ASSET MANAGEMENT, LLC",2013,4.895823435166635
17917,"ZEKE CAPITAL ADVISORS, LLC",2013,4.880298889977992
3863,Campbell & CO Investment Adviser LLC,2013,4.875000017592489
2172,Baker Ellis Asset Management LLC,2013,4.78777975081
7690,HIGHLAND CAPITAL MANAGEMENT LP,2013,4.719798311941856
2215,Bank of New York Mellon Corp,2013,4.701554015365085
169,ADVANTUS CAPITAL MANAGEMENT INC,2013,4.662198511069694
2702,Bronson Point Management LLC,2013,4.58036406156229
5428,EULAV Asset Management,2013,4.565056420415514
8080,HighVista Strategies LLC,2013,4.546153058620883
4109,Cetera Advisors LLC,2013,4.5404570829568724
9819,Lingohr & Partner Asset Management GmbH,2013,4.485580924623961
9894,Lombard Odier Asset Management (USA) Corp,2013,4.480599084233777
16000,THOMPSON SIEGEL & WALMSLEY LLC,2013,4.420001913595757
15328,"Signature Financial Management, Inc.",2013,4.405303537266858
14599,SOL Capital Management CO,2013,4.391383885762516
17638,"WealthTrust Fairport, LLC",2013,4.346367948582493
15966,THIRD AVENUE MANAGEMENT LLC,2013,4.346219230789994
9825,"Linscomb & Williams, Inc.",2013,4.313726943368162
17257,WEDGEWOOD INVESTORS INC /PA/,2013,4.297582561566077
8708,JANA PARTNERS LLC,2013,4.240914528690242
7583,HBK Sorce Advisory LLC,2013,4.1886586113386075
774,Accredited Investors Inc.,2013,4.155785669434466
16709,UBS OCONNOR LLC,2013,4.146669390506925
7719,"HM Capital Management, LLC",2013,4.137112999319677
14623,SOROS FUND MANAGEMENT LLC,2013,4.108791673335491
16474,Tiger Eye Capital LLC,2013,4.0752824056836605
12112,PALISADE CAPITAL MANAGEMENT LLC/NJ,2013,4.037541812699225
16623,"Truepoint, Inc.",2013,3.912998913165064
3851,"Cambridge Investment Research Advisors, Inc.",2013,3.911485172479977
10112,MARATHON ASSET MANAGEMENT LP,2013,3.899985602309346
7969,"Harvey Partners, LLC",2013,3.88021401536827
13529,RIVERBRIDGE PARTNERS LLC,2013,3.8541443550010035
66,"A.R.T. Advisors, LLC",2013,3.839124909467162
7624,HENNESSY ADVISORS INC,2013,3.8229693251752916
806,Adelante Capital Management LLC,2013,3.798270839206174
976,"Alyeska Investment Group, L.P.",2013,3.775421887383093
14365,SENTINEL TRUST CO LBA,2013,3.7699058972854114
2906,CANYON CAPITAL ADVISORS LLC,2013,3.75412499084124
11714,"Nuveen Asset Management, LLC",2013,3.7335259791496047
1471,BAMCO INC /NY/,2013,3.705901277866007
14345,SELZ CAPITAL LLC,2013,3.6521527201953496
12740,Park West Asset Management LLC,2013,3.637873861357968
9464,"LIGHT STREET CAPITAL MANAGEMENT, LLC",2013,3.631494386265067
9778,"Leonetti & Associates, LLC",2013,3.592783016005886
193,AEW CAPITAL MANAGEMENT L P,2013,3.5774462510518448
7134,Gargoyle Investment Advisor L.L.C.,2013,3.576758996420047
14471,SIGMA INVESTMENT COUNSELORS INC,2013,3.533139246766705
6025,FIRST TRUST ADVISORS LP,2013,3.506848320352108
5148,Diversified Trust Co,2013,3.4875816302516505
11458,"Nadler Financial Group, Inc.",2013,3.4766573137384533
3494,CONDOR CAPITAL MANAGEMENT,2013,3.475689135404573
8265,"Hutchin Hill Capital, LP",2013,3.454432699767865
9799,Liberty Mutual Group Asset Management Inc.,2013,3.418512912259002
17564,Wallace Capital Management Inc.,2013,3.373567073950797
15133,"Savant Capital, LLC",2013,3.3634203918604193
248,AKANTHOS CAPITAL MANAGEMENT LLC,2013,3.3594078064991186
7206,"Gibson Capital, LLC",2013,3.2840943773590934
14574,SMITHFIELD TRUST CO,2013,3.262179966586282
