symbol,scores.overall,Frequency
ACHC,46.3501738189822,11
AME,45.929460969658095,12
CAG,45.6284907644109,13
CNK,46.37441987827471,2
CR,44.9151339582051,2
GT,45.96830789109139,15
GWR,45.347089691091995,10
HAIN,45.2738141809449,14
HD,46.5015936058115,274
PBCT,46.002589477625506,4
RL,45.8933341728838,8
SO,44.587225307642896,32
SYK,45.269209433922995,79
THS,45.7638649785684,10
TJX,46.304711822411896,67
TSLA,45.057435728527786,66
TSN,45.5439082633923,20
WCC,45.18295715457501,3
