,investor,year,weighted_score
3485,COMPTON CAPITAL MANAGEMENT INC /RI,2013,25.36662396036804
4395,Consulta Ltd,2013,25.33219032593439
15107,Saratoga Research & Investment Management,2013,25.28551973920018
5282,EDGAR LOMAX CO/VA,2013,25.278640156607945
7012,GREYLIN INVESTMENT MANGEMENT INC,2013,25.267110614015685
3253,CINCINNATI CASUALTY CO,2013,25.156876347648694
10011,"MACGUIRE, CHESWICK & TUTTLE INVESTMENT COUNSEL LLC",2013,25.113191617808965
1532,BAR HARBOR TRUST SERVICES,2013,25.077269044569068
3395,COHEN LAWRENCE B,2013,25.013003822231063
2410,Birch Hill Investment Advisors LLC,2013,24.996999826397712
5489,Eagle Ridge Investment Management,2013,24.96221613588
16834,VALICENTI ADVISORY SERVICES INC,2013,24.828297703768566
4186,Cincinnati Specialty Underwriters Insurance CO,2013,24.76709747865847
17719,"Westchester Capital Management, Inc.",2013,24.702334404292767
15072,"Sanders Capital, LLC",2013,24.68400387446136
959,"Altavista Wealth Management, Inc.",2013,24.672335889754127
3264,CINCINNATI INDEMNITY CO,2013,24.624521898489235
16543,Town & Country Bank & Trust CO dba First Bankers Trust CO,2013,24.61748719237214
15215,"Seminole Management Co., Inc.",2013,24.50531606736474
4083,"Centre Asset Management, LLC",2013,24.415307244991492
6201,FRONTIER INVESTMENT MGMT CO,2013,24.39168376429147
1580,BAXTER BROS INC,2013,24.37830492065706
11971,Oldfield Partners LLP,2013,24.207201971919623
12401,PIONEER TRUST BANK N A/OR,2013,23.984419418424725
14679,SPF BEHEER BV,2013,23.878289762373882
9003,KEATING INVESTMENT COUNSELORS INC,2013,23.866903339917133
13749,"Ramsay, Stattman, Vela & Price, Inc.",2013,23.772780560886808
7713,HL FINANCIAL SERVICES LLC,2013,23.741380353584127
12296,PENN DAVIS MCFARLAND INC,2013,23.732163782470426
2810,CADENCE BANK NA,2013,23.685432683746537
16498,Timber Creek Capital Management LLC,2013,23.47948131538311
0,"10-15 ASSOCIATES, INC.",2013,23.42879027965875
10278,MAYO INVESTMENT ADVISERS LLC,2013,23.407092687207893
11801,OLD POINT TRUST & FINANCIAL SERVICES N A,2013,23.368616887311084
14148,SAYBROOK CAPITAL /NC,2013,23.363711102436433
3922,"Capital Investment Counsel, Inc",2013,23.324289294870763
3871,Canal Insurance CO,2013,23.32131258503777
4613,"Cullen Capital Management, LLC",2013,23.290694871614495
7790,HOWARD CAPITAL MANAGEMENT,2013,23.26459497498541
15299,Shelter Mutual Insurance Co,2013,23.217370307809933
17483,WINDWARD CAPITAL MANAGEMENT CO /CA,2013,23.147978313492203
14988,SYMONS CAPITAL MANAGEMENT INC,2013,23.100999126283657
10471,MITCHELL SINKLER & STARR/PA,2013,23.08085835608284
5651,"Ensemble Capital Management, LLC",2013,23.022689290287826
10487,MOGY JOEL R INVESTMENT COUNSEL INC,2013,23.01107841159098
13121,Princeton Portfolio Strategies Group LLC,2013,22.967326218736343
10621,MUHLENKAMP & CO INC,2013,22.862594257414678
9513,LODESTAR INVESTMENT COUNSEL LLC/IL,2013,22.8604246017381
15902,TDAM USA INC.,2013,22.79962454410744
13452,"REIK & CO., LLC",2013,22.798951354466983
4457,"Cornerstone Investment Partners, LLC",2013,22.786658911933937
17575,"Wallington Asset Management, LLC",2013,22.742870642102073
709,ATWOOD & PALMER INC,2013,22.624785787745797
6253,Family Management Corp,2013,22.619425131027082
8172,Holowesko Partners Ltd.,2013,22.573256742851008
12368,PIEDMONT INVESTMENT ADVISORS LLC,2013,22.55158214953206
7006,GREENWOOD GEARHART INC,2013,22.52596766125291
3884,"CapWealth Advisors, LLC",2013,22.481670432614504
3591,CORTLAND ADVISERS LLC,2013,22.45641069490131
