ticker,name,industry,rank.overall,rank.industry,scores.overall,scores.comm.overall,scores.cust.overall,scores.env.overall,scores.jobs.overall,scores.mgmt.overall,scores.prod.overall,scores.worker.overall,scores.comm.abuse,scores.comm.charity,scores.comm.conflict,scores.comm.local,scores.comm.oppress,scores.comm.rels,scores.cust.disc,scores.cust.exp,scores.cust.fair,scores.cust.label,scores.cust.priv,scores.cust.truth,scores.env.efficient,scores.env.mgmt,scores.env.pollution,scores.jobs.growth,scores.jobs.size,scores.mgmt.integrity,scores.mgmt.laws,scores.mgmt.profit,scores.mgmt.reporting,scores.mgmt.return,scores.mgmt.tax,scores.prod.ben,scores.prod.price,scores.prod.qual,scores.worker.balance,scores.worker.career,scores.worker.ceo,scores.worker.fairpay,scores.worker.health,scores.worker.hiredisc,scores.worker.layoff,scores.worker.living,scores.worker.open,scores.worker.paydisc,scores.worker.pto,scores.worker.retire,scores.worker.safe
INTC,Intel,Semiconductors & Equipment,1,1,70.9041128255571,100.4682628903711,50.47312952837376,85.12683057046934,50.08637679504536,56.353348176436164,71.17356966828255,78.22150389955597,125,106.86249835638918,103.4777518454522,111.7756651953537,51.483665454046836,108.30087361182989,51.611377043117045,34.97770527727205,51.69518700313598,51.700614940387666,55.29492675154962,51.51315431583617,108.69721467743597,95.73955965894919,57.43015614745606,43.035516009879586,61.30634960126112,66.04349618092346,55.629630814709856,62.350330476007585,55.63096809001883,43.667039465497865,49.68034467863875,110.98869678516476,37.6673957865834,56.261842390719735,95.30476573919603,84.27384536443714,56.691194995572594,68.72296009044716,71.83822993834823,88.41638661838468,51.447790398398276,71.82389658123066,104.78904237577134,125,73.80080834309574,33.752225941485705,68.82248615730519
TXN,Texas Instruments,Semiconductors & Equipment,2,2,69.8682107959997,88.73213969463934,53.97589205755604,83.40048824259489,44.22604500165432,59.71151988076608,75.1708064957038,76.10745908129087,112.80153414882298,83.5161613706081,59.30670543378098,111.7756651953537,51.483665454046836,108.30087361182989,51.611377043117045,63.62872472898801,51.69518700313598,51.700614940387666,55.29492675154962,51.51315431583617,105.28932073776483,95.73955965894919,55.79890689935276,43.0368404236756,46.118415796156505,72.74157236819696,56.95680615174859,69.18368268639716,55.63096809001883,84.97184738628897,43.83358291306722,110.98869678516476,53.486610668012894,56.261842390719735,101.61738590249871,88.4674602328077,60.75668071404148,95.05632414106339,81.82709779989999,88.41638661838468,51.447790398398276,71.82389658123066,72.00887774756546,42.68703161469253,86.06762632162781,73.8341718673122,74.73193817673057
NVDA,NVIDIA,Semiconductors & Equipment,3,3,68.9096774195459,85.7605495722104,50.47312952837376,74.8692219671374,50.21842878537277,59.848775252974534,60.24731747806621,89.52700657450848,125,80.91795319210867,103.4777518454522,39.894218358543725,51.483665454046836,90.50365593360871,51.611377043117045,34.97770527727205,51.69518700313598,51.700614940387666,55.29492675154962,51.51315431583617,100.78814557563163,66.03364959662575,59.94270636340652,54.4600254796647,43.46881323984742,63.12816789410384,56.95680615174859,59.095403927663156,55.63096809001883,93.70987277902523,55.18704849778159,110.98869678516476,53.486610668012894,17.897000267605087,100.01925421558664,106.12723840072381,73.06570971090777,93.00403887989549,102.65914459010986,88.41638661838468,51.447790398398276,71.82389658123066,86.56025610381363,125,104.49003094227277,70.52650409676082,74.16005565436593
MSFT,Microsoft,Software,4,1,68.5542802110343,93.07367207291738,51.96800813102662,80.42642709796746,55.61556214820444,79.08329872377344,43.327648566914,84.93013566952203,125,125,59.742340734638326,111.7756651953537,48.206594403770325,99.40226477271929,51.611377043117045,-19.158813494411135,51.69518700313598,51.700614940387666,88.98869213145157,51.51315431583617,109.79010724097716,75.48553007100139,59.677165645108616,48.21311879839662,67.39500519991458,125,56.95680615174859,73.13154164635382,55.63096809001883,64.31104429773444,89.11339332145539,84.59416625523811,53.486610668012894,-1.2854207939522553,99.2601416643034,92.75426654269762,44.46557906229842,78.79089170807734,82.28711145141878,88.41638661838468,51.447790398398276,71.82389658123066,113.51614873109536,125,98.76057495626827,79.50013405389635,77.6662669314887
IBM,International Business Machines,Computer Services,5,1,67.418101176586,77.85857300667308,55.88206249212942,84.47854308480561,67.16825881581687,54.11619817713286,65.7128820933704,67.06674962529945,125,51.20738893835247,92.99648659522512,39.894218358543725,51.483665454046836,63.80782941627698,51.611377043117045,34.97770527727205,51.69518700313598,51.700614940387666,77.75743700481759,51.51315431583617,104.84666034364591,95.73955965894919,58.96179132231521,49.61636976294296,95.09842562400061,72.58486323780285,56.95680615174859,77.36073302317183,55.63096809001883,50.42950051520838,23.679381424958912,84.59416625523811,53.486610668012894,56.261842390719735,85.79588220206922,66.00832282664527,42.94264859009236,51.23389715863227,39.37440938830505,53.94578772893582,51.447790398398276,71.82389658123066,87.51384723138636,108.5037470824598,78.40335882721396,81.99439511112766,71.49127065801983
ACN,Accenture,Commercial Support Services,6,1,66.9567950923756,70.01849587905828,59.20968689485259,88.66476929361662,49.99669965906068,54.278550274387605,59.4075991572204,75.70689056074006,110.24671875165735,92.11987625468842,56.85653953113048,39.894218358543725,51.483665454046836,54.90922057716641,51.611377043117045,62.19617375640222,51.69518700313598,51.700614940387666,77.75743700481759,51.51315431583617,116.63482779671627,95.73955965894919,59.97790783615156,44.123632108312165,59.34246044150355,107.3192144710346,56.95680615174859,76.45595577644072,55.63096809001883,80.80815960429263,-17.305445579182916,66.99781256510107,53.486610668012894,56.261842390719735,84.79704989774918,94.24532960700716,52.37664782883466,55.5133408176029,74.86117679118624,88.41638661838468,51.447790398398276,71.82389658123066,73.03667847923434,108.5037470824598,99.13078597251052,54.135917537165625,69.33366275118897
CSCO,Cisco Systems,Technology Hardware,7,1,66.9305739720319,81.11875963834927,53.80075393109693,63.29817125665608,48.350917869324775,60.286029738256424,75.1708064957038,76.84543720941716,125,59.72871788173682,83.2638831485857,39.894218358543725,51.483665454046836,90.50365593360871,51.611377043117045,62.19617375640222,51.69518700313598,51.700614940387666,55.29492675154962,51.51315431583617,51.65124931003639,82.23687326698399,58.669403981291154,43.845536454780664,55.52029172211265,54.06106810468905,56.95680615174859,67.60292892373357,55.63096809001883,62.481995841707395,71.43001202702298,110.98869678516476,53.486610668012894,56.261842390719735,107.9300060658014,78.63576315251667,52.04561026673687,67.55811727311941,72.10109488207328,53.94578772893582,51.447790398398276,71.82389658123066,65.02564238896255,125,94.00283471196863,80.5038102453602,77.7819778130857
GOOG,Alphabet,Internet,8,1,65.3259566635909,64.2790161633582,56.75000944764483,65.71263896754786,64.28033544265868,47.624217965075566,63.08323055723444,79.58231632429911,76.75786905268504,41.57604248954469,93.74514839881277,39.894218358543725,51.483665454046836,63.80782941627698,51.611377043117045,0.7574756273838545,51.69518700313598,51.700614940387666,100.21994725808557,48.89214919845585,51.39293432754997,88.98821646296658,60.028652178485416,67.6178006909218,58.96945632191572,19.616120536634686,55.22362748103915,75.32194348468411,55.63096809001883,24.056766211062335,54.55852850948527,84.59416625523811,43.07966594358612,56.261842390719735,117.67860935596502,89.44957931724844,43.05174509454012,78.10938130015543,117.31386520278116,53.94578772893582,51.447790398398276,71.82389658123066,84.68057165805155,108.5037470824598,90.05130842354708,85.8480192773614,52.437032627395496
CRM,salesforce.com,Software,9,2,64.1325445402954,64.39352033910063,59.3848250213117,56.78310865441535,48.02373447988988,47.02824185745557,65.7128820933704,82.6772708529773,44.21383783146775,58.118109818460496,51.017949751203425,111.7756651953537,51.483665454046836,90.50365593360871,51.611377043117045,63.62872472898801,51.69518700313598,51.700614940387666,77.75743700481759,51.51315431583617,51.604337453320305,57.93203776144663,60.23240718077181,48.68660771308511,46.96891012907212,48.270533733563674,56.95680615174859,14.300881924664786,55.63096809001883,27.108199953080298,42.858196152445515,84.59416625523811,53.486610668012894,56.261842390719735,109.52813775271346,89.86894080408553,69.35766657790293,66.07228018488424,100.88480621996578,53.94578772893582,51.447790398398276,71.82389658123066,125,125,111.61790303861372,74.17373555973953,60.88534768929223
SYMC,Symantec,Software,10,3,63.5509438708266,74.46850920753161,51.65732456728767,71.84785216328193,43.755474574139996,56.24756496794943,65.7128820933704,72.30149438379875,95.9860748938209,125,41.338822147677426,39.894218358543725,51.483665454046836,108.30087361182989,51.611377043117045,63.62872472898801,51.69518700313598,51.700614940387666,88.98869213145157,-25,83.81988478344229,75.48553007100139,59.107442345844255,43.59295638624901,44.01408833836135,62.52919597661108,56.95680615174859,40.11175250308043,55.63096809001883,85.61124422933767,47.704807014500936,84.59416625523811,53.486610668012894,56.261842390719735,101.21785298077069,64.42406832081637,76.83314849451739,64.79915058776506,43.054518600455694,88.41638661838468,51.447790398398276,71.82389658123066,39.202358455516595,108.5037470824598,59.057333786258944,64.27095511851292,77.7819778130857
